gene_id,batch1.htseq,batch2.htseq,chem1.htseq,chem2.htseq
HRA1,19,35,7,13
YAL001C,188,246,156,200
YAL002W,103,164,104,120
YAL003W,1644,2173,800,963
YAL004W,165,210,629,862
YAL005C,622,712,2314,3073
YAL007C,240,362,95,87
YAL008W,63,60,119,148
YAL009W,79,74,65,78
YAL010C,51,56,60,73
YAL011W,82,103,73,68
YAL012W,799,1125,230,273
YAL013W,140,163,96,144
YAL014C,94,103,50,73
YAL015C,73,74,68,92
YAL016C-A,36,37,39,45
YAL016C-B,7,11,10,19
YAL016W,288,319,332,429
YAL017W,175,212,199,278
YAL018C,1,0,6,7
YAL019W,207,335,91,120
YAL019W-A,50,62,28,24
YAL020C,79,108,54,59
YAL021C,193,250,152,145
YAL022C,115,154,58,85
YAL023C,833,1120,266,296
YAL024C,76,126,56,68
YAL025C,285,357,102,159
YAL026C,210,284,118,139
YAL026C-A,8,9,12,8
YAL027W,40,52,70,71
YAL028W,22,31,32,27
YAL029C,322,441,110,145
YAL030W,54,68,97,104
YAL031C,75,90,62,81
YAL031W-A,11,16,10,16
YAL032C,50,64,62,71
YAL033W,59,95,29,28
YAL034C,47,55,117,141
YAL034C-B,15,22,12,6
YAL034W-A,35,44,26,35
YAL035W,885,1400,492,552
YAL036C,233,316,118,140
YAL037C-A,4,8,0,1
YAL037C-B,4302,6006,1647,2437
YAL037W,26,29,14,21
YAL038W,6222,8366,2349,3500
YAL039C,127,151,108,121
YAL040C,133,204,85,109
YAL041W,141,179,110,125
YAL042C-A,174,236,67,78
YAL042W,520,757,262,262
YAL043C,133,178,114,145
YAL044C,465,599,258,280
YAL044W-A,37,62,66,79
YAL045C,35,68,56,71
YAL046C,64,74,55,63
YAL047C,44,61,35,52
YAL047W-A,8,4,8,5
YAL048C,46,59,54,67
YAL049C,151,153,154,244
YAL051W,107,125,65,92
YAL053W,286,327,270,261
YAL054C,44,48,2803,3396
YAL055W,3,16,23,24
YAL056C-A,18,33,16,9
YAL056W,93,130,129,159
YAL058W,87,140,50,47
YAL059C-A,69,96,39,39
YAL059W,110,182,37,79
YAL060W,387,581,357,353
YAL061W,36,33,199,298
YAL062W,23,19,264,318
YAL063C,1,2,3,0
YAR002C-A,412,563,180,219
YAR002W,167,229,96,108
YAR003W,109,145,58,70
YAR007C,215,284,216,232
YAR008W,79,100,55,51
YAR014C,231,317,150,202
YAR015W,842,1184,265,277
YAR018C,66,96,67,57
YAR019C,39,69,33,50
YAR019W-A,1,8,5,5
YAR020C,5,4,14,15
YAR023C,11,10,10,13
YAR027W,103,110,104,127
YAR028W,40,36,8,7
YAR029W,10,7,3,2
YAR030C,5,7,3,3
YAR031W,7,15,9,10
YAR033W,11,27,11,13
YAR035C-A,0,0,5,4
YAR035W,50,71,362,363
YAR042W,127,216,133,146
YAR050W,4,6,3,6
YAR064W,1,0,0,1
YAR066W,0,4,3,4
YAR068W,1,1,2,4
YAR071W,6,9,8,2
YAR073W,2,2,4,2
YGL051W,0,1,0,1
YHR211W,0,1,0,1
YHR214C-E,0,0,1,0
YHR215W,1,1,0,0
YHR216W,1,1,1,1
YLL024C,1,3,0,2
YLR256W-A,0,1,0,0
snR18,25,22,10,21
